TRACT,LON,LAT,CRIM,ZN,INDUS,CHAS,NOX,RM,AGE,DIS,RAD,TAX,PTRATIO,CATEGORIAS,MEDV
3833,-71.262,42.169,0.33983,22.0,5.86,0,0.431,6,34.9,8.0555,7,330,19.1,Medio,24.3
3834,-71.247,42.1703,0.19657,22.0,5.86,0,0.431,6,79.2,8.0555,7,330,19.1,Medio,20.5
3835,-71.255,42.1767,0.16439,22.0,5.86,0,0.431,6,49.1,7.8265,7,330,19.1,Medio,24.5
3836,-71.2475,42.1825,0.19073,22.0,5.86,0,0.431,6,17.5,7.8265,7,330,19.1,Medio,26.2
3837,-71.238,42.191,0.1403,22.0,5.86,0,0.431,6,13.0,7.3967,7,330,19.1,Medio,24.4
3838,-71.2435,42.1982,0.21409,22.0,5.86,0,0.431,6,8.9,7.3967,7,330,19.1,Medio,24.8
3839,-71.2685,42.1935,0.08221,22.0,5.86,0,0.431,6,6.8,8.9067,7,330,19.1,Medio,29.6
3840,-71.2807,42.1727,0.36894,22.0,5.86,0,0.431,8,8.4,8.9067,7,330,19.1,Grande,42.8
3851,-71.2895,42.1575,0.04819,80.0,3.64,0,0.392,6,32.0,9.2203,1,315,16.4,Medio,21.9
3852,-71.269,42.1482,0.03548,80.0,3.64,0,0.392,5,19.1,9.2203,1,315,16.4,Medio,20.9
3861,-71.223,42.145,0.01538,90.0,3.75,0,0.394,7,34.2,6.3361,3,244,15.9,Grande,44.0
4002,-71.0727,42.2077,0.66351,20.0,3.97,0,0.647,7,100.0,1.8946,5,264,13.0,Grande,36.0
4003,-71.0765,42.2075,0.65665,20.0,3.97,0,0.647,6,100.0,2.0107,5,264,13.0,Medio,30.1
4004,-71.08,42.204,0.54011,20.0,3.97,0,0.647,7,81.8,2.1121,5,264,13.0,Grande,33.8
4005,-71.079,42.202,0.53412,20.0,3.97,0,0.647,7,89.4,2.1398,5,264,13.0,Grande,43.1
4007,-71.075,42.198,0.82526,20.0,3.97,0,0.647,7,94.5,2.0788,5,264,13.0,Grande,31.0
4008,-71.071,42.203,0.55007,20.0,3.97,0,0.647,7,91.6,1.9301,5,264,13.0,Grande,36.5
4009,-71.07,42.2,0.76162,20.0,3.97,0,0.647,5,62.8,1.9865,5,264,13.0,Medio,22.8
4010,-71.0725,42.1965,0.7857,20.0,3.97,0,0.647,7,84.6,2.1329,5,264,13.0,Grande,30.7
4012,-71.0925,42.2075,0.5405,20.0,3.97,0,0.575,7,52.6,2.872,5,264,13.0,Grande,43.5
4021,-71.098,42.154,0.09065,20.0,6.96,1,0.464,5,61.5,3.9175,3,223,18.6,Medio,20.7
4022,-71.087,42.141,0.29916,20.0,6.96,0,0.464,5,42.1,4.429,3,223,18.6,Medio,21.1
4023,-71.094,42.1355,0.16211,20.0,6.96,0,0.464,6,16.3,4.429,3,223,18.6,Medio,25.2
4024,-71.0982,42.1445,0.1146,20.0,6.96,0,0.464,6,58.7,3.9175,3,223,18.6,Medio,24.4
4025,-71.117,42.151,0.22188,20.0,6.96,1,0.464,7,51.8,4.3665,3,223,18.6,Grande,35.2
4031,-71.1305,42.1675,0.05644,40.0,6.41,1,0.447,6,32.9,4.0776,4,254,17.6,Medio,32.4
4032,-71.138,42.1733,0.09604,40.0,6.41,0,0.447,6,42.8,4.2673,4,254,17.6,Medio,32.0
4033,-71.1405,42.1632,0.10469,40.0,6.41,1,0.447,7,49.0,4.7872,4,254,17.6,Grande,33.2
4034,-71.1495,42.173,0.06127,40.0,6.41,1,0.447,6,27.6,4.8628,4,254,17.6,Medio,33.1
4035,-71.1395,42.1813,0.07978,40.0,6.41,0,0.447,6,32.1,4.1403,4,254,17.6,Medio,29.1
4041,-71.148,42.188,0.21038,20.0,3.33,0,0.4429,6,32.2,4.1007,5,216,14.9,Medio,35.1
4042,-71.166,42.187,0.03578,20.0,3.33,0,0.4429,7,64.5,4.6947,5,216,14.9,Grande,45.4
4043,-71.185,42.1848,0.03705,20.0,3.33,0,0.4429,6,37.2,5.2447,5,216,14.9,Medio,35.4
4044,-71.1775,42.1735,0.06129,20.0,3.33,1,0.4429,7,49.7,5.2119,5,216,14.9,Grande,46.0
4061,-71.18,42.1105,0.00906,90.0,2.97,0,0.4,7,20.8,7.3073,1,285,15.3,Grande,32.2
4071,-71.2135,42.1,0.01096,55.0,2.25,0,0.389,6,31.9,7.3073,1,300,15.3,Medio,22.0
4091,-71.195,42.0675,0.01965,80.0,1.76,0,0.385,6,31.5,9.0892,1,241,18.2,Medio,20.1
4111,-71.148,42.0775,0.03871,52.5,5.32,0,0.405,6,31.3,7.3172,6,293,16.6,Medio,23.2
4112,-71.1325,42.094,0.0459,52.5,5.32,0,0.405,6,45.6,7.3172,6,293,16.6,Medio,22.3
4113,-71.155,42.098,0.04297,52.5,5.32,0,0.405,6,22.9,7.3172,6,293,16.6,Medio,24.8
4121,-71.1385,42.1235,0.03502,80.0,4.95,0,0.411,6,27.9,5.1167,4,245,19.2,Medio,28.5
4122,-71.133,42.1408,0.07886,80.0,4.95,0,0.411,7,27.7,5.1167,4,245,19.2,Grande,37.3
4123,-71.107,42.1307,0.03615,80.0,4.95,0,0.411,6,23.4,5.1167,4,245,19.2,Medio,27.9
4131,-71.109,42.11,0.08265,0.0,13.92,0,0.437,6,18.4,5.5027,4,289,16.0,Medio,23.9
4132,-71.118,42.1217,0.08199,0.0,13.92,0,0.437,6,42.3,5.5027,4,289,16.0,Medio,21.7
4133,-71.1309,42.1166,0.12932,0.0,13.92,0,0.437,6,31.1,5.9604,4,289,16.0,Medio,28.6
4134,-71.128,42.1108,0.05372,0.0,13.92,0,0.437,6,51.0,5.9604,4,289,16.0,Medio,27.1
4135,-71.121,42.1025,0.14103,0.0,13.92,0,0.437,5,58.0,6.32,4,289,16.0,Medio,20.3
4141,-71.12,42.0725,0.06466,70.0,2.24,0,0.4,6,20.1,7.8278,5,358,14.8,Medio,22.5
4142,-71.1,42.059,0.05561,70.0,2.24,0,0.4,7,10.0,7.8278,5,358,14.8,Grande,29.0
4143,-71.1035,42.0735,0.04417,70.0,2.24,0,0.4,6,47.4,7.8278,5,358,14.8,Medio,24.8
4151,-71.0875,42.095,0.03537,34.0,6.09,0,0.433,6,40.4,5.4917,7,329,16.1,Medio,22.0
4152,-71.0625,42.102,0.09266,34.0,6.09,0,0.433,6,18.4,5.4917,7,329,16.1,Medio,26.4
4153,-71.0865,42.12,0.1,34.0,6.09,0,0.433,6,17.7,5.4917,7,329,16.1,Medio,33.1
4161,-71.0465,42.145,0.05515,33.0,2.18,0,0.472,7,41.1,4.022,7,222,18.4,Grande,36.1
4162,-71.057,42.1525,0.05479,33.0,2.18,0,0.472,6,58.1,3.37,7,222,18.4,Medio,28.4
4163,-71.045,42.159,0.07503,33.0,2.18,0,0.472,7,71.9,3.0992,7,222,18.4,Grande,33.4
4164,-71.028,42.1565,0.04932,33.0,2.18,0,0.472,6,70.3,3.1827,7,222,18.4,Medio,28.2
4171,-71.0138,42.1555,0.49298,0.0,9.9,0,0.544,6,82.5,3.3175,4,304,18.4,Medio,22.8
4172,-71.0201,42.16,0.3494,0.0,9.9,0,0.544,5,76.7,3.1025,4,304,18.4,Medio,20.3
4173,-71.016,42.176,2.63548,0.0,9.9,0,0.544,4,37.8,2.5194,4,304,18.4,Pequeno,16.1
4174,-71.0075,42.178,0.79041,0.0,9.9,0,0.544,6,52.8,2.6403,4,304,18.4,Medio,22.1
4175,-71.015,42.167,0.26169,0.0,9.9,0,0.544,6,90.4,2.834,4,304,18.4,Medio,19.4
4176,-71.0075,42.1613,0.26938,0.0,9.9,0,0.544,6,82.8,3.2628,4,304,18.4,Medio,21.6
4177,-71.0,42.153,0.3692,0.0,9.9,0,0.544,6,87.3,3.6023,4,304,18.4,Medio,23.8
4178,-70.9795,42.158,0.25356,0.0,9.9,0,0.544,5,77.7,3.945,4,304,18.4,Medio,16.2
4179,-70.988,42.1485,0.31827,0.0,9.9,0,0.544,5,83.2,3.9986,4,304,18.4,Medio,17.8
4180,-71.004,42.1425,0.24522,0.0,9.9,0,0.544,5,71.7,4.0317,4,304,18.4,Medio,19.8
4181,-71.01,42.15,0.40202,0.0,9.9,0,0.544,6,67.2,3.5325,4,304,18.4,Medio,23.1
4182,-71.02,42.151,0.47547,0.0,9.9,0,0.544,6,58.8,4.0019,4,304,18.4,Medio,21.0
4191,-71.0085,42.129,0.1676,0.0,7.38,0,0.493,6,52.3,4.5404,5,287,19.6,Medio,23.8
4192,-70.9975,42.134,0.18159,0.0,7.38,0,0.493,6,54.3,4.5404,5,287,19.6,Medio,23.1
4193,-70.99,42.1367,0.35114,0.0,7.38,0,0.493,6,49.9,4.7211,5,287,19.6,Medio,20.4
4194,-70.9834,42.1375,0.28392,0.0,7.38,0,0.493,5,74.3,4.7211,5,287,19.6,Medio,18.5
4195,-70.9895,42.1265,0.34109,0.0,7.38,0,0.493,6,40.1,4.7211,5,287,19.6,Medio,25.0
4196,-71.0,42.1066,0.19186,0.0,7.38,0,0.493,6,14.7,5.4159,5,287,19.6,Medio,24.6
4197,-70.9995,42.1175,0.30347,0.0,7.38,0,0.493,6,28.9,5.4159,5,287,19.6,Medio,23.0
4198,-71.01,42.1215,0.24103,0.0,7.38,0,0.493,6,43.7,5.4159,5,287,19.6,Medio,22.2
4201,-71.0275,42.113,0.06617,0.0,3.24,0,0.46,5,25.8,5.2146,4,430,16.9,Medio,19.3
4202,-71.0415,42.115,0.06724,0.0,3.24,0,0.46,6,17.2,5.2146,4,430,16.9,Medio,22.6
4203,-71.025,42.098,0.04544,0.0,3.24,0,0.46,6,32.2,5.8736,4,430,16.9,Medio,19.8
4211,-71.0115,42.0865,0.05023,35.0,6.06,0,0.4379,5,28.4,6.6407,1,304,16.9,Medio,17.1
4212,-70.996,42.0895,0.03466,35.0,6.06,0,0.4379,6,23.3,6.6407,1,304,16.9,Medio,19.4
4221,-70.9795,42.0995,0.05083,0.0,5.19,0,0.515,6,38.1,6.4584,5,224,20.2,Medio,22.2
4222,-70.965,42.101,0.03738,0.0,5.19,0,0.515,6,38.5,6.4584,5,224,20.2,Medio,20.7
4223,-70.97,42.115,0.03961,0.0,5.19,0,0.515,6,34.5,5.9853,5,224,20.2,Medio,21.1
4224,-70.976,42.128,0.03427,0.0,5.19,0,0.515,5,46.3,5.2311,5,224,20.2,Medio,19.5
4225,-70.9602,42.127,0.03041,0.0,5.19,0,0.515,5,59.6,5.615,5,224,20.2,Medio,18.5
4226,-70.9633,42.1374,0.03306,0.0,5.19,0,0.515,6,37.3,4.8122,5,224,20.2,Medio,20.6
4227,-70.9675,42.144,0.05497,0.0,5.19,0,0.515,5,45.4,4.8122,5,224,20.2,Medio,19.0
4228,-70.965,42.1503,0.06151,0.0,5.19,0,0.515,5,58.5,4.8122,5,224,20.2,Medio,18.7
4231,-70.8875,42.1465,0.01301,35.0,1.52,0,0.442,7,49.3,7.0379,1,284,15.5,Grande,32.7
5001,-70.915,42.16,0.02498,0.0,1.89,0,0.518,6,59.7,6.2669,1,422,15.9,Medio,16.5
5011,-70.937,42.1475,0.02543,55.0,3.78,0,0.484,6,56.4,5.7321,5,370,17.6,Medio,23.9
5012,-70.9325,42.123,0.03049,55.0,3.78,0,0.484,6,28.1,6.4654,5,370,17.6,Medio,31.2
5021,-70.947,42.0725,0.03113,0.0,4.39,0,0.442,6,48.5,8.0136,3,352,18.8,Medio,17.5
5022,-70.9501,42.0825,0.06162,0.0,4.39,0,0.442,5,52.3,8.0136,3,352,18.8,Medio,17.2
5031,-70.9275,42.0795,0.0187,85.0,4.15,0,0.429,6,27.7,8.5353,4,351,17.9,Medio,23.1
5041,-70.92,42.1016,0.01501,80.0,2.01,0,0.435,6,29.7,8.344,4,280,17.0,Medio,24.5
5051,-70.855,42.13,0.02899,40.0,1.25,0,0.429,6,34.5,8.7921,1,335,19.7,Medio,26.6
5052,-70.833,42.115,0.06211,40.0,1.25,0,0.429,6,44.4,8.7921,1,335,19.7,Medio,22.9
5061,-70.83,42.0775,0.0795,60.0,1.69,0,0.411,6,35.9,10.7103,4,411,18.3,Medio,24.1
5062,-70.81,42.059,0.07244,60.0,1.69,0,0.411,5,18.5,10.7103,4,411,18.3,Medio,18.6
5071,-70.83,42.0485,0.01709,90.0,2.02,0,0.41,6,36.1,12.1265,5,187,17.0,Medio,30.1
5081,-70.853,42.052,0.04301,80.0,1.91,0,0.413,5,21.9,10.5857,4,334,22.0,Medio,18.2
5082,-70.8525,42.03,0.10659,80.0,1.91,0,0.413,5,19.5,10.5857,4,334,22.0,Medio,20.6
1,-71.083,42.2172,8.98296,0.0,18.1,1,0.77,6,97.4,2.1222,24,666,20.2,Medio,17.8
2,-71.095,42.212,3.8497,0.0,18.1,1,0.77,6,91.0,2.5052,24,666,20.2,Medio,21.7
3,-71.1007,42.21,5.20177,0.0,18.1,1,0.77,6,83.4,2.7227,24,666,20.2,Medio,22.7
4,-71.093,42.207,4.26131,0.0,18.1,0,0.77,6,81.3,2.5091,24,666,20.2,Medio,22.6
5,-71.0905,42.2033,4.54192,0.0,18.1,0,0.77,6,88.0,2.5182,24,666,20.2,Medio,25.0
6,-71.0865,42.21,3.83684,0.0,18.1,0,0.77,6,91.1,2.2955,24,666,20.2,Medio,19.9
7,-71.081,42.208,3.67822,0.0,18.1,0,0.77,5,96.2,2.1036,24,666,20.2,Medio,20.8
8,-71.0865,42.215,4.22239,0.0,18.1,1,0.77,5,89.0,1.9047,24,666,20.2,Medio,16.8
101,-71.059,42.2098,3.47428,0.0,18.1,1,0.718,8,82.9,1.9047,24,666,20.2,Grande,21.9
102,-71.0595,42.2075,4.55587,0.0,18.1,0,0.718,3,87.9,1.6132,24,666,20.2,Pequeno,27.5
104,-71.054,42.2052,3.69695,0.0,18.1,0,0.718,4,91.4,1.7523,24,666,20.2,Pequeno,21.9
105,-71.0508,42.207,13.5222,0.0,18.1,0,0.631,3,100.0,1.5106,24,666,20.2,Pequeno,23.1
301,-71.0339,42.2207,11.1081,0.0,18.1,0,0.668,4,100.0,1.1742,24,666,20.2,Pequeno,13.8
302,-71.0346,42.2187,18.4982,0.0,18.1,0,0.668,4,100.0,1.137,24,666,20.2,Pequeno,13.8
401,-71.0367,42.224,19.6091,0.0,18.1,0,0.671,7,97.9,1.3163,24,666,20.2,Grande,15.0
402,-71.034,42.226,15.288,0.0,18.1,0,0.671,6,93.3,1.3449,24,666,20.2,Medio,13.9
403,-71.038,42.2265,9.82349,0.0,18.1,0,0.671,6,98.8,1.358,24,666,20.2,Medio,13.3
404,-71.04,42.2248,23.6482,0.0,18.1,0,0.671,6,96.2,1.3861,24,666,20.2,Medio,13.1
405,-71.04,42.2275,17.8667,0.0,18.1,0,0.671,6,100.0,1.3861,24,666,20.2,Medio,10.2
406,-71.046,42.23,88.9762,0.0,18.1,0,0.671,6,91.9,1.4165,24,666,20.2,Medio,10.4
407,-71.041,42.229,15.8744,0.0,18.1,0,0.671,6,99.1,1.5192,24,666,20.2,Medio,10.9
501,-71.023,42.2287,9.18702,0.0,18.1,0,0.7,5,100.0,1.5804,24,666,20.2,Medio,11.3
502,-71.0215,42.227,7.99248,0.0,18.1,0,0.7,5,100.0,1.5331,24,666,20.2,Medio,12.3
503,-71.0245,42.2235,20.0849,0.0,18.1,0,0.7,4,91.2,1.4395,24,666,20.2,Pequeno,8.8
504,-71.0235,42.2213,16.8118,0.0,18.1,0,0.7,5,98.1,1.4261,24,666,20.2,Medio,7.2
506,-71.0228,42.2231,24.3938,0.0,18.1,0,0.7,4,100.0,1.4672,24,666,20.2,Pequeno,10.5
507,-71.0215,42.2248,22.5971,0.0,18.1,0,0.7,5,89.5,1.5184,24,666,20.2,Medio,7.4
508,-71.0195,42.2255,14.3337,0.0,18.1,0,0.7,4,100.0,1.5895,24,666,20.2,Pequeno,10.2
509,-71.0168,42.2281,8.15174,0.0,18.1,0,0.7,5,98.9,1.7281,24,666,20.2,Medio,11.5
510,-71.0109,42.23,6.96215,0.0,18.1,0,0.7,5,97.0,1.9265,24,666,20.2,Medio,15.1
511,-71.0035,42.233,5.29305,0.0,18.1,0,0.7,6,82.5,2.1678,24,666,20.2,Medio,23.2
512,-71.02,42.2205,11.5779,0.0,18.1,0,0.7,5,97.0,1.77,24,666,20.2,Medio,9.7
601,-71.0167,42.201,8.64476,0.0,18.1,0,0.693,6,92.6,1.7912,24,666,20.2,Medio,13.8
602,-71.02,42.1993,13.3598,0.0,18.1,0,0.693,5,94.7,1.7821,24,666,20.2,Medio,12.7
603,-71.022,42.1996,8.71675,0.0,18.1,0,0.693,6,98.8,1.7257,24,666,20.2,Medio,13.1
604,-71.026,42.1993,5.87205,0.0,18.1,0,0.693,6,96.0,1.6768,24,666,20.2,Medio,12.5
605,-71.025,42.2024,7.67202,0.0,18.1,0,0.693,5,98.9,1.6334,24,666,20.2,Medio,8.5
606,-71.023,42.209,38.3518,0.0,18.1,0,0.693,5,100.0,1.4896,24,666,20.2,Medio,5.0
607,-71.033,42.2032,9.91655,0.0,18.1,0,0.693,5,77.8,1.5004,24,666,20.2,Medio,6.3
608,-71.0326,42.2011,25.0461,0.0,18.1,0,0.693,5,100.0,1.5888,24,666,20.2,Medio,5.6
609,-71.03,42.2015,14.2362,0.0,18.1,0,0.693,6,100.0,1.5741,24,666,20.2,Medio,7.2
610,-71.03,42.1988,9.59571,0.0,18.1,0,0.693,6,100.0,1.639,24,666,20.2,Medio,12.1
612,-71.0332,42.198,24.8017,0.0,18.1,0,0.693,5,96.0,1.7028,24,666,20.2,Medio,8.3
613,-71.0345,42.2001,41.5292,0.0,18.1,0,0.693,5,85.4,1.6074,24,666,20.2,Medio,8.5
614,-71.032,42.2057,67.9208,0.0,18.1,0,0.693,5,100.0,1.4254,24,666,20.2,Medio,5.0
702,-71.039,42.2198,20.7162,0.0,18.1,0,0.659,4,100.0,1.1781,24,666,20.2,Pequeno,11.9
703,-71.0427,42.209,11.9511,0.0,18.1,0,0.659,5,100.0,1.2852,24,666,20.2,Medio,27.9
705,-71.0437,42.205,7.40389,0.0,18.1,0,0.597,5,97.9,1.4547,24,666,20.2,Medio,17.2
706,-71.0455,42.206,14.4383,0.0,18.1,0,0.597,6,100.0,1.4655,24,666,20.2,Medio,27.5
707,-71.0462,42.2075,51.1358,0.0,18.1,0,0.597,5,100.0,1.413,24,666,20.2,Medio,15.0
708,-71.0487,42.2048,14.0507,0.0,18.1,0,0.597,6,100.0,1.5275,24,666,20.2,Medio,17.2
709,-71.047,42.203,18.811,0.0,18.1,0,0.597,4,100.0,1.5539,24,666,20.2,Pequeno,17.9
710,-71.0451,42.2015,28.6558,0.0,18.1,0,0.597,5,100.0,1.5894,24,666,20.2,Medio,16.3
801,-71.042,42.1985,45.7461,0.0,18.1,0,0.693,4,100.0,1.6582,24,666,20.2,Pequeno,7.0
802,-71.0455,42.1953,18.0846,0.0,18.1,0,0.679,6,100.0,1.8347,24,666,20.2,Medio,7.2
803,-71.0477,42.1965,10.8342,0.0,18.1,0,0.679,6,90.8,1.8195,24,666,20.2,Medio,7.5
805,-71.0498,42.2007,25.9406,0.0,18.1,0,0.679,5,89.1,1.6475,24,666,20.2,Medio,10.4
807,-71.0525,42.1989,73.5341,0.0,18.1,0,0.679,5,100.0,1.8026,24,666,20.2,Medio,8.8
808,-71.0586,42.1999,11.8123,0.0,18.1,0,0.718,6,76.5,1.794,24,666,20.2,Medio,8.4
809,-71.0618,42.199,11.0874,0.0,18.1,0,0.718,6,100.0,1.8589,24,666,20.2,Medio,16.7
810,-71.065,42.2018,7.02259,0.0,18.1,0,0.718,6,95.3,1.8746,24,666,20.2,Medio,14.2
811,-71.0665,42.197,12.0482,0.0,18.1,0,0.614,5,87.6,1.9512,24,666,20.2,Medio,20.8
812,-71.0619,42.1948,7.05042,0.0,18.1,0,0.614,6,85.1,2.0218,24,666,20.2,Medio,13.4
813,-71.059,42.192,8.79212,0.0,18.1,0,0.584,5,70.6,2.0635,24,666,20.2,Medio,11.7
814,-71.0577,42.1967,15.8603,0.0,18.1,0,0.679,5,95.4,1.9096,24,666,20.2,Medio,8.3
815,-71.0558,42.1937,12.2472,0.0,18.1,0,0.584,5,59.7,1.9976,24,666,20.2,Medio,10.2
816,-71.0542,42.1961,37.6619,0.0,18.1,0,0.679,6,78.7,1.8629,24,666,20.2,Medio,10.9
817,-71.0521,42.194,7.36711,0.0,18.1,0,0.679,6,78.1,1.9356,24,666,20.2,Medio,11.0
818,-71.0485,42.192,9.33889,0.0,18.1,0,0.679,6,95.6,1.9682,24,666,20.2,Medio,9.5
819,-71.0547,42.189,8.49213,0.0,18.1,0,0.584,6,86.1,2.0527,24,666,20.2,Medio,14.5
820,-71.0505,42.188,10.0623,0.0,18.1,0,0.584,6,94.3,2.0882,24,666,20.2,Medio,14.1
821,-71.052,42.1854,6.44405,0.0,18.1,0,0.584,6,74.8,2.2004,24,666,20.2,Medio,16.1
901,-71.0495,42.1815,5.58107,0.0,18.1,0,0.713,6,87.9,2.3158,24,666,20.2,Medio,14.3
902,-71.0475,42.1842,13.9134,0.0,18.1,0,0.713,6,95.0,2.2222,24,666,20.2,Medio,11.7
903,-71.046,42.1867,11.1604,0.0,18.1,0,0.74,6,94.6,2.1247,24,666,20.2,Medio,13.4
904,-71.0455,42.1893,14.4208,0.0,18.1,0,0.74,6,93.3,2.0026,24,666,20.2,Medio,9.6
905,-71.0445,42.1917,15.1772,0.0,18.1,0,0.74,6,100.0,1.9142,24,666,20.2,Medio,8.2
906,-71.0445,42.1938,13.6781,0.0,18.1,0,0.74,5,87.9,1.8206,24,666,20.2,Medio,8.4
907,-71.037,42.194,9.39063,0.0,18.1,0,0.74,5,93.9,1.8172,24,666,20.2,Medio,12.8
908,-71.0321,42.1925,22.0511,0.0,18.1,0,0.74,5,92.4,1.8662,24,666,20.2,Medio,10.5
910,-71.0345,42.185,9.72418,0.0,18.1,0,0.74,6,97.2,2.0651,24,666,20.2,Medio,17.1
911,-71.034,42.189,5.66637,0.0,18.1,0,0.74,6,100.0,2.0048,24,666,20.2,Medio,14.8
912,-71.0378,42.1892,9.96654,0.0,18.1,0,0.74,6,100.0,1.9784,24,666,20.2,Medio,15.4
913,-71.0405,42.192,12.8023,0.0,18.1,0,0.74,5,96.6,1.8956,24,666,20.2,Medio,10.8
914,-71.0425,42.189,10.6718,0.0,18.1,0,0.74,6,94.8,1.9879,24,666,20.2,Medio,11.8
915,-71.039,42.1868,6.28807,0.0,18.1,0,0.74,6,96.4,2.072,24,666,20.2,Medio,14.9
916,-71.037,42.184,9.92485,0.0,18.1,0,0.74,6,96.6,2.198,24,666,20.2,Medio,12.6
917,-71.04,42.182,9.32909,0.0,18.1,0,0.713,6,98.7,2.2616,24,666,20.2,Medio,14.1
918,-71.0428,42.1845,7.52601,0.0,18.1,0,0.713,6,98.3,2.185,24,666,20.2,Medio,13.0
919,-71.046,42.181,6.71772,0.0,18.1,0,0.713,6,92.6,2.3236,24,666,20.2,Medio,13.4
920,-71.041,42.1795,5.44114,0.0,18.1,0,0.713,6,98.2,2.3552,24,666,20.2,Medio,15.2
921,-71.034,42.179,5.09017,0.0,18.1,0,0.713,6,91.8,2.3682,24,666,20.2,Medio,16.1
922,-71.04,42.177,8.24809,0.0,18.1,0,0.713,7,99.3,2.4527,24,666,20.2,Grande,17.8
923,-71.0455,42.1768,9.51363,0.0,18.1,0,0.713,6,94.1,2.4961,24,666,20.2,Medio,14.4
924,-71.051,42.178,4.75237,0.0,18.1,0,0.713,6,86.5,2.4358,24,666,20.2,Medio,14.1
1001,-71.0517,42.1735,4.66883,0.0,18.1,0,0.713,5,87.9,2.5806,24,666,20.2,Medio,12.7
1002,-71.0515,42.17,8.20058,0.0,18.1,0,0.713,5,80.3,2.7792,24,666,20.2,Medio,13.5
1003,-71.0475,42.169,7.75223,0.0,18.1,0,0.713,6,83.7,2.7831,24,666,20.2,Medio,14.9
1004,-71.043,42.169,6.80117,0.0,18.1,0,0.713,6,84.4,2.7175,24,666,20.2,Medio,20.0
1005,-71.043,42.1728,4.81213,0.0,18.1,0,0.713,6,90.0,2.5975,24,666,20.2,Medio,16.4
1006,-71.035,42.1745,3.69311,0.0,18.1,0,0.713,6,88.4,2.5671,24,666,20.2,Medio,17.7
1007,-71.031,42.1695,6.65492,0.0,18.1,0,0.713,6,83.0,2.7344,24,666,20.2,Medio,19.5
1008,-71.0358,42.1675,5.82115,0.0,18.1,0,0.713,6,89.9,2.8016,24,666,20.2,Medio,20.2
1009,-71.045,42.164,7.83932,0.0,18.1,0,0.655,6,65.4,2.9634,24,666,20.2,Medio,21.4
1010,-71.055,42.165,3.1636,0.0,18.1,0,0.655,5,48.2,3.0665,24,666,20.2,Medio,19.9
1011,-71.055,42.1685,3.77498,0.0,18.1,0,0.655,5,84.7,2.8715,24,666,20.2,Medio,19.0
1101,-71.066,42.178,4.42228,0.0,18.1,0,0.584,6,94.5,2.5403,24,666,20.2,Medio,19.1
1102,-71.07,42.168,15.5757,0.0,18.1,0,0.58,5,71.0,2.9084,24,666,20.2,Medio,19.1
1103,-71.069,42.1725,13.0751,0.0,18.1,0,0.58,5,56.7,2.8237,24,666,20.2,Medio,20.1
1104,-71.074,42.168,4.34879,0.0,18.1,0,0.58,6,84.0,3.0334,24,666,20.2,Medio,19.9
1105,-71.0825,42.1698,4.03841,0.0,18.1,0,0.532,6,90.7,3.0993,24,666,20.2,Medio,19.6
1106,-71.0833,42.175,3.56868,0.0,18.1,0,0.58,6,75.0,2.8965,24,666,20.2,Medio,23.2
1201,-71.0732,42.184,4.64689,0.0,18.1,0,0.614,6,67.6,2.5329,24,666,20.2,Medio,29.8
1202,-71.055,42.183,8.05579,0.0,18.1,0,0.584,5,95.4,2.4298,24,666,20.2,Medio,13.8
1203,-71.0511,42.1879,6.39312,0.0,18.1,0,0.584,6,97.4,2.206,24,666,20.2,Medio,13.3
1204,-71.0565,42.188,4.87141,0.0,18.1,0,0.614,6,93.6,2.3053,24,666,20.2,Medio,16.7
1205,-71.0528,42.192,15.0234,0.0,18.1,0,0.614,5,97.3,2.1007,24,666,20.2,Medio,12.0
1206,-71.0558,42.1913,10.233,0.0,18.1,0,0.614,6,96.7,2.1705,24,666,20.2,Medio,14.6
1207,-71.067,42.1945,14.3337,0.0,18.1,0,0.614,6,88.0,1.9512,24,666,20.2,Medio,21.4
1301,-71.1008,42.174,5.82401,0.0,18.1,0,0.532,6,64.7,3.4242,24,666,20.2,Medio,23.0
1302,-71.095,42.173,5.70818,0.0,18.1,0,0.532,6,74.9,3.3317,24,666,20.2,Medio,23.7
1303,-71.09,42.1665,5.73116,0.0,18.1,0,0.532,7,77.0,3.4106,24,666,20.2,Grande,25.0
1304,-71.0975,42.1608,2.81838,0.0,18.1,0,0.532,5,40.3,4.0983,24,666,20.2,Medio,21.8
1401,-71.0804,42.154,2.37857,0.0,18.1,0,0.583,5,41.9,3.724,24,666,20.2,Medio,20.6
1402,-71.075,42.1455,3.67367,0.0,18.1,0,0.583,6,51.9,3.9917,24,666,20.2,Medio,21.2
1403,-71.0715,42.155,5.69175,0.0,18.1,0,0.583,6,79.8,3.5459,24,666,20.2,Medio,19.1
1404,-71.065,42.161,4.83567,0.0,18.1,0,0.583,5,53.2,3.1523,24,666,20.2,Medio,20.6
1601,-71.0189,42.2344,0.15086,0.0,27.74,0,0.609,5,92.7,1.8209,4,711,20.1,Medio,15.2
1602,-71.0228,42.2335,0.18337,0.0,27.74,0,0.609,5,98.3,1.7554,4,711,20.1,Medio,7.0
1604,-71.0245,42.2368,0.20746,0.0,27.74,0,0.609,5,98.0,1.8226,4,711,20.1,Medio,8.1
1605,-71.016,42.2382,0.10574,0.0,27.74,0,0.609,5,98.8,1.8681,4,711,20.1,Medio,13.6
